keys,en,mi,es,de,ru,ja,ar,hi
     Idle:,     Idle:,     Idle:,     Idle:,     Leerlauf:,     Простой:,     待機:,     خامل:,     निष्क्रिय:
    Count-In:,    Count-In:,    Count-In:,    Count-In:,    Einzählen:,    Отсчёт:,    カウントイン:,    العدّ:,    काउंट-इन:
    Go:,    Go:,    Go:,    Go:,    Go:,    Go:,    GO:,    تشغيل:,    गो:
    Standby:,    Standby:,    Standby:,    Standby:,    Bereit:,    Готовность:,    スタンバイ:,    استعداد:,    स्टैंडबाय:
!!! Missing Layer,!!! Missing Layer,!!! Kāore te paparanga,!!! Falta la capa,!!! Ebene fehlt,!!! Слой отсутствует,!!! レイヤーがありません,!!! الطبقة مفقودة,!!! परत अनुपलब्ध
!!! Missing output: {0},!!! Missing output: {0},!!! Kāore te putanga: {0},!!! Falta la salida: {0},!!! Ausgabe fehlt: {0},!!! Нет выхода: {0},!!! 出力がありません: {0},!!! المخرج مفقود: {0},!!! आउटपुट गायब: {0}
!!! Missing patch: {0},!!! Missing patch: {0},!!! Kāore te pātene: {0},!!! Falta el parche: {0},!!! Patch fehlt: {0},!!! Нет патча: {0},!!! パッチがありません: {0},!!! التصحيح مفقود: {0},!!! पैच गायब: {0}
"""{0}"" is used by 1 cue.
Choose what to do with that cue before deleting.","""{0}"" is used by 1 cue.
Choose what to do with that cue before deleting.","E whakamahia ana a ""{0}"" e te tohu 1.
Kōwhiria he aha mā tēnā tohu i mua i te mukunga.","""{0}"" lo usa 1 cue.
Elige qué hacer con esa cue antes de eliminar.","„{0}“ wird von 1 Cue verwendet.
Legen Sie fest, was mit diesem Cue geschehen soll, bevor Sie löschen.","«{0}» используется 1 репликой.
Выберите, что сделать с этой репликой перед удалением.","「{0}」は 1 件のキューで使用されています。
削除する前に、そのキューの扱いを選んでください。","يُستخدم «{0}» في إشارة واحدة.
اختر ما يجب فعله بتلك الإشارة قبل الحذف.","""{0}"" एक क्यू द्वारा उपयोग होता है।
हटाने से पहले उस क्यू का क्या करना है चुनें।"
"""{0}"" is used by {1} cues.
Choose what to do with those cues before deleting.","""{0}"" is used by {1} cues.
Choose what to do with those cues before deleting.","E whakamahia ana a ""{0}"" e ngā tohu {1}.
Kōwhiria he aha mā aua tohu i mua i te mukunga.","""{0}"" lo usan {1} cues.
Elige qué hacer con esas cues antes de eliminar.","„{0}“ wird von {1} Cues verwendet.
Legen Sie fest, was mit diesen Cues geschehen soll, bevor Sie löschen.","«{0}» используется {1} репликами.
Выберите, что сделать с этими репликами перед удалением.","「{0}」は {1} 件のキューで使用されています。
削除する前に、それらのキューの扱いを選んでください。","يُستخدم «{0}» في {1} إشارات.
اختر ما يجب فعله بتلك الإشارات قبل الحذف.","""{0}"" {1} क्यू द्वारा उपयोग होता है।
हटाने से पहले उन क्यू का क्या करना है चुनें।"
"""{0}"" was saved with a different version of Cue2.","""{0}"" was saved with a different version of Cue2.","I tiakina a ""{0}"" ki tētahi putanga kē o Cue2.","""{0}"" se guardó con otra versión de Cue2.",„{0}“ wurde mit einer anderen Cue2-Version gespeichert.,«{0}» сохранён в другой версии Cue2.,「{0}」は別の Cue2 バージョンで保存されています。,حُفظ «{0}» بإصدار مختلف من Cue2.,"""{0}"" Cue2 के किसी अन्य संस्करण से सहेजा गया था।"
#1,#1,#1,#1,#1,#1,#1,#1,#1
'{0}' already exists. Overwrite?,'{0}' already exists. Overwrite?,Kei te noho kē a '{0}'. Tuhituhi anō?,'{0}' ya existe. ¿Sobrescribir?,„{0}“ existiert bereits. Überschreiben?,«{0}» уже существует. Перезаписать?,「{0}」は既にあります。上書きしますか？,«{0}» موجود بالفعل. هل تريد الاستبدال؟,'{0}' पहले से मौजूद है। अधिलेखित करें?
(no connections),(no connections),(kāore he hononga),(sin conexiones),(keine Verbindungen),(нет подключений),(接続なし),(لا اتصالات),(कोई कनेक्शन नहीं)
(no device),(no device),(kāore he pūrere),(sin dispositivo),(kein Gerät),(нет устройства),(デバイスなし),(لا جهاز),(कोई डिवाइस नहीं)
(none),(none),(kāore),(ninguno),(keine),(нет),(なし),(لا شيء),(कोई नहीं)
(Pre-wait),(Pre-wait),(Tataritanga-mua),(Preespera),(Vorwartezeit),(Предварительная пауза),(プリウェイト),(انتظار مسبق),(प्री-वेट)
(Pre-Wait),(Pre-Wait),(Tataritanga-mua),(Preespera),(Vorwartezeit),(Предварительная пауза),(プリウェイト),(انتظار مسبق),(प्री-वेट)
(unnamed),(unnamed),(kore ingoa),(sin nombre),(unbenannt),(без имени),(無名),(بدون اسم),(बिना नाम)
+ Layer,+ Layer,+ Paparanga,+ Capa,+ Ebene,+ Слой,+ レイヤー,+ طبقة,+ परत
+ Screen,+ Screen,+ Mata,+ Pantalla,+ Bildschirm,+ Экран,+ スクリーン,+ شاشة,+ स्क्रीन
+ Text,+ Text,+ Kupu,+ Texto,+ Text,+ Текст,+ テキスト,+ نص,+ पाठ
-90.0dB,-90.0dB,-90.0dB,-90.0dB,-90.0dB,-90.0dB,-90.0dB,-90.0dB,-90.0dB
/command/path,/command/path,/command/path,/command/path,/command/path,/command/path,/command/path,/command/path,/command/path
/command/path or /jump 2,/command/path or /jump 2,/command/path or /jump 2,/command/path or /jump 2,/command/path or /jump 2,/command/path or /jump 2,/command/path or /jump 2,/command/path or /jump 2,/command/path or /jump 2
/path,/path,/path,/path,/path,/path,/path,/path,/path
/test/path,/test/path,/test/path,/test/path,/test/path,/test/path,/test/path,/test/path,/test/path
/test/path or /jump 2,/test/path or /jump 2,/test/path or /jump 2,/test/path or /jump 2,/test/path or /jump 2,/test/path or /jump 2,/test/path or /jump 2,/test/path or /jump 2,/test/path or /jump 2
0 (instant),0 (instant),0 (tonu),0 (instantáneo),0 (sofort),0 (мгновенно),0（即時）,0 (فوري),0 (तुरंत)
0 (no fade-in),0 (no fade-in),0 (kāore he memeha-mai),0 (sin fundido de entrada),0 (kein Einblenden),0 (без нарастания),0（フェードインなし）,0 (بدون تدرج دخول),0 (कोई फ़ेड-इन नहीं)
0 = hold,0 = hold,0 = pupuri,0 = mantener,0 = halten,0 = удерживать,0 = 保持,0 = تثبيت,0 = रोकें
0 = instant. Second Stop cuts immediately.,0 = instant. Second Stop cuts immediately.,0 = tonu. Ka tapahia wawe e te Tū tuarua.,0 = instantáneo. El segundo Stop corta de inmediato.,0 = sofort. Zweites Stoppen schneidet sofort ab.,0 = мгновенно. Второй Stop обрывает сразу.,0 = 即時。2 回目のストップはすぐに切断します。,0 = فوري. الإيقاف الثاني يقطع مباشرة.,0 = तुरंत। दूसरी स्टॉप तुरंत काटती है।
0 = off. Blocks a second GO after each GO.,0 = off. Blocks a second GO after each GO.,0 = weto. Ka aukati i tētahi GO tuarua i muri i ia GO.,0 = off. Bloquea un segundo GO tras cada GO.,0 = aus. Blockiert ein zweites GO nach jedem GO.,0 = выкл. Блокирует повторный GO после каждого GO.,0 = オフ。各 GO の後、次の GO をブロックします。,0 = إيقاف. يمنع GO ثانياً بعد كل GO.,0 = बंद। प्रत्येक GO के बाद दूसरा GO रोकता है।
0 = stay active until stopped. Enter a time to auto-end.,0 = stay active until stopped. Enter a time to auto-end.,0 = hohe kia tū rā anō. Tāuruhia he wā kia mutu aunoa.,0 = sigue activo hasta detener. Introduce un tiempo para terminar solo.,"0 = aktiv bleiben, bis gestoppt. Zeit eingeben zum automatischen Ende.","0 = держать, пока не остановят. Введите время автозавершения.",0 = 停止するまで継続。自動終了する場合は時間を入力。,0 = يبقى نشطاً حتى الإيقاف. أدخل وقتاً للإنهاء التلقائي.,0 = रोकने तक सक्रिय। स्वतः समाप्त करने के लिए समय दर्ज करें।
0 total cues,0 total cues,0 tohu katoa,0 cues en total,0 Cues insgesamt,0 реплик всего,キュー合計 0,0 إشارات إجمالاً,कुल 0 क्यू
0.0dB,0.0dB,0.0dB,0.0dB,0.0dB,0.0dB,0.0dB,0.0dB,0.0dB
00m:00s.000ms,00m:00s.000ms,00m:00s.000ms,00m:00s.000ms,00m:00s.000ms,00m:00s.000ms,00m:00s.000ms,00m:00s.000ms,00m:00s.000ms
0dB,0dB,0dB,0dB,0dB,0dB,0dB,0dB,0dB
1 cue in the show,1 cue in the show,1 tohu i te whakaaturanga,1 cue en el show,1 Cue in der Show,1 реплика в шоу,ショー内のキュー 1 件,إشارة واحدة في العرض,शो में 1 क्यू
1 File Dropped,1 File Dropped,1 kōnae i tukuna,1 archivo soltado,1 Datei abgelegt,Сброшен 1 файл,1 ファイルをドロップ,تم إسقاط ملف واحد,1 फ़ाइल ड्रॉप हुई
[Missing OSC] {0},[Missing OSC] {0},[Kāore he OSC] {0},[Falta OSC] {0},[OSC fehlt] {0},[Нет OSC] {0},[OSC なし] {0},[OSC مفقود] {0},[OSC गायब] {0}
A shells video content and parameters.,A shells video content and parameters.,Ngā ihirangi ataata me ngā tawhā o tētahi anga.,Contenido de vídeo y parámetros de una cáscara.,Videoinhalt und Parameter einer Hülle.,Видеосодержимое и параметры оболочки.,シェルの映像コンテンツとパラメータ。,محتوى فيديو الغلاف ومعاملاته.,शेल की वीडियो सामग्री और पैरामीटर।
A showfile open is already in progress.,A showfile open is already in progress.,Kei te haere kē tētahi whakatuwheratanga kōnae whakaaturanga.,Ya hay una apertura de showfile en curso.,A showfile open is already in progress.,A showfile open is already in progress.,A showfile open is already in progress.,A showfile open is already in progress.,A showfile open is already in progress.
About,About,Mō,Acerca de,Über,О программе,情報,حول,परिचय
About and Help.,About and Help.,Mō me te Āwhina.,Acerca de y ayuda.,Über und Hilfe.,О программе и справка.,情報とヘルプ。,حول والمساعدة.,परिचय और सहायता।
"About and Help.
Version: ","About and Help.
Version: ","About and Help.
Version: ","About and Help.
Version: ","Über und Hilfe.
Version: ","О программе и справка.
Версия: ","情報とヘルプ。
バージョン: ","حول والمساعدة.
الإصدار: ","परिचय और सहायता।
संस्करण: "
